parameter_id,parameter,test,peak_detection_rate_tp,peak_tp_to_tn_ratio,days_to_50pct_detection
1001,SIRI,ad,0.997,30.21212121212121,7.0011520737268516
1001,SIRI,led,0.993,2.3146853146853146,6.995502248865741
1002,SII,ad,0.998,33.266666666666666,7.6821608040162035
1002,SII,led,0.992,2.2545454545454544,0.28421052630787036
1003,AISI,ad,0.973,31.387096774193548,7.1167434715740745
1003,AISI,led,0.991,2.31002331002331,0.7592592592476852
1009,NLR,ad,1.0,38.46153846153846,7.5841269841203705
1009,NLR,led,0.989,2.2528473804100226,9.047445255462963
1010,PLR,ad,0.899,29.0,10.826597131678241
1010,PLR,led,0.935,2.2,0.0
1011,NMR,ad,0.952,30.709677419354836,10.205495818391205
1011,NMR,led,0.919,2.0376940133037693,9.326820603900464
8,CRP,ad,0.809,23.794117647058822,12.512396694212963
8,CRP,led,0.848,1.9360730593607305,8.079741379305556
