date,test,detection_rate,n_iterations
2000-02-12,ad,0.018,1000
2000-02-12,chow,0.412,1000
2000-02-12,ks,0.022,1000
2000-02-12,led,0.433,1000
2000-02-12,mwu,0.019,1000
2000-02-13,ad,0.019,1000
2000-02-13,chow,0.421,1000
2000-02-13,ks,0.018,1000
2000-02-13,led,0.439,1000
2000-02-13,mwu,0.019,1000
2000-02-14,ad,0.019,1000
2000-02-14,chow,0.401,1000
2000-02-14,ks,0.025,1000
2000-02-14,led,0.427,1000
2000-02-14,mwu,0.024,1000
2000-02-15,ad,0.022,1000
2000-02-15,chow,0.398,1000
2000-02-15,ks,0.019,1000
2000-02-15,led,0.427,1000
2000-02-15,mwu,0.027,1000
2000-02-16,ad,0.023,1000
2000-02-16,chow,0.402,1000
2000-02-16,ks,0.022,1000
2000-02-16,led,0.427,1000
2000-02-16,mwu,0.027,1000
2000-02-17,ad,0.024,1000
2000-02-17,chow,0.391,1000
2000-02-17,ks,0.019,1000
2000-02-17,led,0.414,1000
2000-02-17,mwu,0.029,1000
2000-02-18,ad,0.022,1000
2000-02-18,chow,0.387,1000
2000-02-18,ks,0.02,1000
2000-02-18,led,0.41,1000
2000-02-18,mwu,0.022,1000
2000-02-19,ad,0.02,1000
2000-02-19,chow,0.395,1000
2000-02-19,ks,0.017,1000
2000-02-19,led,0.424,1000
2000-02-19,mwu,0.024,1000
2000-02-20,ad,0.027,1000
2000-02-20,chow,0.404,1000
2000-02-20,ks,0.028,1000
2000-02-20,led,0.429,1000
2000-02-20,mwu,0.024,1000
2000-02-21,ad,0.03,1000
2000-02-21,chow,0.405,1000
2000-02-21,ks,0.031,1000
2000-02-21,led,0.438,1000
2000-02-21,mwu,0.03,1000
2000-02-22,ad,0.025,1000
2000-02-22,chow,0.402,1000
2000-02-22,ks,0.023,1000
2000-02-22,led,0.444,1000
2000-02-22,mwu,0.026,1000
2000-02-23,ad,0.025,1000
2000-02-23,chow,0.404,1000
2000-02-23,ks,0.019,1000
2000-02-23,led,0.441,1000
2000-02-23,mwu,0.031,1000
2000-02-24,ad,0.021,1000
2000-02-24,chow,0.398,1000
2000-02-24,ks,0.022,1000
2000-02-24,led,0.426,1000
2000-02-24,mwu,0.022,1000
2000-02-25,ad,0.021,1000
2000-02-25,chow,0.418,1000
2000-02-25,ks,0.022,1000
2000-02-25,led,0.418,1000
2000-02-25,mwu,0.02,1000
2000-02-26,ad,0.024,1000
2000-02-26,chow,0.415,1000
2000-02-26,ks,0.027,1000
2000-02-26,led,0.435,1000
2000-02-26,mwu,0.025,1000
2000-02-27,ad,0.018,1000
2000-02-27,chow,0.401,1000
2000-02-27,ks,0.017,1000
2000-02-27,led,0.427,1000
2000-02-27,mwu,0.017,1000
2000-02-28,ad,0.017,1000
2000-02-28,chow,0.407,1000
2000-02-28,ks,0.017,1000
