parameter_id,parameter,test,peak_detection_rate_tp,peak_tp_to_tn_ratio,days_to_50pct_detection
1001,SIRI,ad,0.144,4.64516129032258,
1001,SIRI,led,0.625,1.4204545454545454,9.544378698217592
1002,SII,ad,0.157,5.233333333333333,
1002,SII,led,0.646,1.4681818181818183,6.208333333321759
1003,AISI,ad,0.104,2.971428571428571,
1003,AISI,led,0.633,1.4859154929577465,5.917525773194445
1009,NLR,ad,0.184,5.575757575757575,
1009,NLR,led,0.632,1.401330376940133,10.744
1010,PLR,ad,0.103,3.029411764705882,
1010,PLR,led,0.564,1.2674157303370785,9.281690140844907
1011,NMR,ad,0.105,3.6206896551724133,
1011,NMR,led,0.542,1.2488479262672811,12.797979797974538
8,CRP,ad,0.094,2.6857142857142855,
8,CRP,led,0.542,1.25754060324826,11.552083333333334
